date,day_of_week,predicted_revenue,lower_bound,upper_bound
2024-03-31,Sunday,582.36,0.0,1273.71
2024-04-01,Monday,741.9,85.39,1427.95
2024-04-02,Tuesday,808.74,90.03,1495.7
2024-04-03,Wednesday,1004.51,327.32,1715.08
2024-04-04,Thursday,802.5,93.47,1500.28
2024-04-05,Friday,977.95,289.77,1635.87
2024-04-06,Saturday,1039.41,299.86,1716.22
2024-04-07,Sunday,584.43,0.0,1293.87
2024-04-08,Monday,743.97,77.81,1450.93
2024-04-09,Tuesday,810.81,156.21,1559.44
2024-04-10,Wednesday,1006.58,332.81,1684.05
2024-04-11,Thursday,804.57,117.45,1506.03
2024-04-12,Friday,980.02,279.82,1628.18
2024-04-13,Saturday,1041.48,339.68,1772.57
2024-04-14,Sunday,586.5,0.0,1260.41
2024-04-15,Monday,746.04,71.82,1422.56
2024-04-16,Tuesday,812.88,111.12,1446.79
2024-04-17,Wednesday,1008.66,314.89,1657.66
2024-04-18,Thursday,806.64,50.42,1517.27
2024-04-19,Friday,982.09,312.15,1703.34
2024-04-20,Saturday,1043.55,416.86,1726.77
2024-04-21,Sunday,588.58,0.0,1272.06
2024-04-22,Monday,748.12,93.65,1435.08
2024-04-23,Tuesday,814.95,119.28,1507.22
2024-04-24,Wednesday,1010.73,344.08,1712.64
2024-04-25,Thursday,808.71,143.01,1465.33
2024-04-26,Friday,984.16,300.48,1655.7
2024-04-27,Saturday,1045.63,390.5,1724.63
2024-04-28,Sunday,590.65,0.0,1280.72
2024-04-29,Monday,750.19,37.1,1416.62
