Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,estimated_stock_after_sales,inventory_to_demand_ratio,forecast_error,absolute_forecast_error,stockout_risk,high_demand,discount_applied,price_difference_competitor
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,20,Rainy,0,29.69,Autumn,104,1.7051745773972098,8.469999999999999,8.469999999999999,0,1,1,3.809999999999999
2022-01-01,S001,P0002,Toys,South,204,150,66,144.04,63.01,20,Sunny,0,66.16,Autumn,54,1.4162732574284922,-5.960000000000008,5.960000000000008,0,1,1,-3.1499999999999986
2022-01-01,S001,P0003,Toys,West,102,65,51,74.02,27.99,10,Sunny,1,31.32,Summer,37,1.3780059443393675,9.019999999999996,9.019999999999996,0,0,1,-3.330000000000002
2022-01-01,S001,P0004,Toys,North,469,61,164,62.18,32.72,10,Cloudy,1,34.74,Autumn,408,7.542618205210679,1.1799999999999995,1.1799999999999995,0,0,1,-2.020000000000003
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,152,17.926565874730024,-4.74,4.74,0,0,0,4.689999999999998
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,10,Sunny,1,79.35,Winter,10,0.9869832641968246,11.819999999999991,11.819999999999991,1,1,1,-2.519999999999996
2022-01-01,S001,P0007,Furniture,East,359,97,167,108.92,34.16,10,Rainy,1,36.55,Winter,262,3.2959970620639,11.920000000000002,11.920000000000002,0,0,1,-2.390000000000001
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,5,Cloudy,0,100.09,Spring,68,1.1524580717556787,17.730000000000018,17.730000000000018,0,1,1,-2.1000000000000085
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,10,Cloudy,0,17.66,Autumn,8,1.0508182601205858,-0.8499999999999943,0.8499999999999943,0,1,1,3.0799999999999983
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,80,4.413567633837352,-3.530000000000001,3.530000000000001,0,0,0,-1.2199999999999989
2022-01-01,S001,P0011,Furniture,South,258,150,153,152.74,58.53,10,Sunny,1,61.42,Spring,108,1.6891449522063635,2.740000000000009,2.740000000000009,0,1,1,-2.890000000000001
2022-01-01,S001,P0012,Clothing,West,66,24,70,26.75,58.25,20,Snowy,0,62.21,Spring,42,2.467289719626168,2.75,2.75,0,0,1,-3.960000000000001
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,54,2.315484804630969,-0.5399999999999991,0.5399999999999991,0,0,0,-2.710000000000001
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,181,28.38235294117647,-5.2,5.2,0,0,0,-1.9500000000000028
2022-01-01,S001,P0015,Clothing,North,379,369,154,363.46,92.99,15,Snowy,0,95.8,Winter,10,1.0427557365322182,-5.5400000000000205,5.5400000000000205,0,1,1,-2.8100000000000023
2022-01-01,S001,P0016,Electronics,North,363,255,69,255.74,21.9,5,Cloudy,1,20.27,Autumn,108,1.4194103386251662,0.7400000000000091,0.7400000000000091,0,1,1,1.629999999999999
2022-01-01,S001,P0017,Toys,West,318,246,177,255.37,21.07,20,Sunny,0,16.49,Winter,72,1.245251987312527,9.370000000000005,9.370000000000005,0,1,1,4.580000000000002
