CustomerID,country,total_orders,total_quantity,total_spending
12346,United Kingdom,1,74215,77183.6
12347,Iceland,7,2458,4310.0
12348,Finland,4,2341,1797.24
12349,Italy,1,631,1757.55
12350,Norway,1,197,334.4
12352,Norway,8,536,2506.04
12353,Bahrain,1,20,89.0
12354,Spain,1,530,1079.4
12355,Bahrain,1,240,459.4
12356,Portugal,3,1591,2811.43
12357,Switzerland,1,2708,6207.67
12358,Austria,2,248,1168.06
12359,Cyprus,4,1609,6310.03
12360,Austria,3,1165,2662.06
12361,Belgium,1,91,189.9
12362,Belgium,10,2229,5226.23
12363,Unspecified,2,408,552.0
12364,Belgium,4,1506,1313.1
12365,Cyprus,2,174,641.38
12367,Denmark,1,173,168.9
12370,Cyprus,4,2352,3541.94
12371,Switzerland,2,591,1887.96
12372,Denmark,3,794,1298.04
12373,Austria,1,197,364.6
12374,Austria,1,342,742.9300000000001
12375,Finland,2,178,457.5
12377,Switzerland,2,944,1628.12
12378,Switzerland,1,2529,4008.62
12379,Belgium,2,407,852.24
12380,Belgium,4,1127,2724.81
12381,Norway,5,808,1845.31
12383,Belgium,5,1532,1850.56
12384,Switzerland,2,126,585.27
12386,Australia,2,354,401.9
12388,Australia,6,1462,2780.66
12390,Belgium,1,353,549.84
12391,Cyprus,1,293,439.66
12393,Australia,4,816,1582.6000000000001
12394,Belgium,2,819,1272.48
12395,Belgium,12,2118,3018.63
12397,Belgium,2,1263,2409.9
12398,Switzerland,1,1394,1635.6599999999999
12399,Belgium,4,1178,1108.65
12401,Belgium,1,11,84.3
12402,Belgium,1,94,225.6
12403,Denmark,1,96,427.7
12405,Finland,1,857,1710.39
12406,Denmark,2,1818,3415.3
12407,Belgium,5,1416,1708.1200000000001
12408,Belgium,5,1409,2888.55
12409,Switzerland,3,5551,11072.67
12410,Switzerland,2,211,693.3299999999999
12412,Denmark,3,829,1226.88
12413,France,3,286,758.1
12414,Austria,3,300,562.41
12415,Australia,21,77374,124914.53
12417,Belgium,9,1552,3649.1
12418,Switzerland,1,407,668.58
12420,Cyprus,1,345,600.39
12421,Spain,4,484,807.04
12422,Australia,3,370,803.5600000000001
12423,Belgium,8,1339,1859.31
12424,Australia,2,740,1760.96
12425,Portugal,1,496,777.2
12426,Germany,1,258,582.73
12427,Germany,3,533,825.8
12428,Finland,9,3536,7956.46
12429,Denmark,4,1557,3750.4
12430,Norway,1,117,256.4
12431,Australia,15,2896,6419.95
12432,Norway,5,1801,5059.32
12433,Norway,7,11071,13375.87
12434,Australia,2,394,806.14
12435,Denmark,2,2055,7829.89
12436,Norway,1,211,509.01
12437,France,18,2922,4951.41
12438,Norway,2,1180,2906.85
12441,France,1,121,173.55
12442,Spain,1,182,172.06
12444,Norway,5,1153,5005.46
12445,Spain,1,62,133.4
12446,RSA,1,351,1002.3100000000001
12447,Belgium,1,190,476.49
12448,Spain,1,243,449.45
12449,Belgium,4,1553,4067.29
12450,Spain,2,128,197.88
12451,Switzerland,5,6575,9035.52
12452,Switzerland,2,185,430.57
12453,Austria,1,473,707.09
12454,Spain,1,1006,3528.34
12455,Cyprus,6,2089,2466.86
12456,Switzerland,3,1633,3181.04
12457,Switzerland,7,843,2363.23
12458,Switzerland,2,506,947.4
12461,Switzerland,2,287,826.88
12462,Spain,2,536,1189.59
12463,Belgium,4,776,1344.78
12464,Belgium,8,112,1212.05
12465,Belgium,2,479,742.1899999999999
12468,Germany,2,366,729.5400000000001
12471,Germany,30,8200,19788.65
12472,Germany,7,4148,6572.11
12473,Germany,5,2414,3928.0499999999997
12474,Germany,18,4833,7324.09
12475,Germany,1,535,723.38
12476,Germany,11,2408,6816.42
12477,Germany,6,3653,13219.74
12478,Greece,1,236,680.99
12479,Germany,1,385,527.2
12480,Germany,4,1707,3281.63
12481,Germany,10,3294,5579.82
12483,Sweden,8,1110,2484.98
12484,Spain,6,2187,4527.32
12488,France,3,529,1298.66
12489,France,1,105,334.93
12490,France,10,3064,5417.93
12491,France,1,260,460.40000000000003
12492,Germany,2,192,263.21000000000004
12493,France,2,207,433.74
12494,France,7,707,1246.1000000000001
12497,Germany,1,1236,1043.1
12498,Germany,3,159,403.70000000000005
12500,Germany,11,2678,4257.82
12501,Germany,1,1783,2169.39
12502,Spain,5,820,3723.87
12504,Germany,2,90,482.04999999999995
12506,France,1,23,73.5
12507,Spain,3,894,1304.81
12508,France,2,271,397.88
12509,France,1,55,176.5
12510,Spain,2,353,982.5699999999999
12512,Israel,2,96,132.18
12513,France,1,462,612.29
12514,Italy,1,440,1017.68
12515,Italy,1,131,383.7
12516,Germany,2,875,1312.06
12517,Germany,5,1361,2481.6
12518,Germany,5,1318,2056.89
12519,Germany,1,175,330.84
12520,Germany,5,1439,2634.26
12521,Germany,1,309,599.68
12522,Germany,2,194,192.72
12523,France,11,865,1789.77
12524,Germany,8,3699,4485.72
12526,Germany,3,632,1316.66
12527,Germany,3,234,348.71000000000004
12528,Germany,6,756,1933.48
12530,Germany,4,913,1662.28
12531,Germany,1,45,125.22
12532,France,1,153,349.83000000000004
12534,Germany,1,651,1089.18
12535,France,2,219,716.35
12536,France,3,2803,12601.830000000002
12538,Spain,1,191,363.95
12539,Spain,4,2067,5568.35
12540,Spain,17,6685,13400.24
12541,Spain,3,680,981.18
12544,Spain,1,136,372.7
12545,Spain,2,523,1000.39
12546,Spain,2,633,1161.5
12547,Spain,2,134,207.79999999999998
12548,Spain,1,49,95.19999999999999
12550,Spain,1,569,964.83
12551,Spain,1,100,168.0
