StockCode,description,total_quantity_sold,total_revenue
10002,INFLATABLE POLITICAL GLOBE ,823,699.55
10080,GROOVY CACTUS INFLATABLE,291,114.41
10120,DOGGY RUBBER,192,40.32
10125,MINI FUNKY DESIGN TAPES,1225,929.45
10133,COLOURING PENCILS BROWN TUBE,2373,1138.99
10135,COLOURING PENCILS BROWN TUBE,1936,1784.19
11001,ASSTD DESIGN RACING CAR PEN,1252,1953.0
15030,FAN BLACK FRAME ,143,41.47
15034,PAPER POCKET TRAVELING FAN ,6419,697.0600000000001
15036,ASSORTED COLOURS SILK FAN,21876,16044.44
15039,SANDALWOOD FAN,1558,1132.3
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996
16011,ANIMAL STICKERS,1749,367.29
16012,FOOD/DRINK SPONGE STICKERS,1220,256.2
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76
16015,MEDIUM CHINESE STYLE SCISSOR,662,289.98
16016,LARGE CHINESE STYLE SCISSOR,1273,1053.45
16033,MINI HIGHLIGHTER PENS,840,100.79999999999998
16043,POP ART PUSH DOWN RUBBER ,98,11.759999999999998
16045,POPART WOODEN PENCILS ASST,8900,380.0
16046,TEATIME PEN CASE & PENS,64,54.4
16048,TEATIME ROUND PENCIL SHARPENER ,1436,186.72
16049,TEATIME GEL PENS ASST,504,82.08
16052,TEATIME PUSH DOWN RUBBER,467,105.28999999999999
16054,POPART RECT PENCIL SHARPENER ASST,1166,140.52
16216,LETTER SHAPE PENCIL SHARPENER,3316,227.14
16218,CARTOON  PENCIL SHARPENERS,3760,253.2
16219,HOUSE SHAPE PENCIL SHARPENER,2915,309.9
16225,RATTLE SNAKE EGGS,760,596.84
16235,RECYCLED PENCIL WITH RABBIT ERASER,2629,518.1899999999999
16236,KITTY PENCIL ERASERS,1296,266.56
16237,SLEEPING CAT ERASERS,4595,885.45
16238,PARTY TIME PENCIL ERASERS,1259,265.09
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,27.91
16259,PIECE OF CAMO STATIONERY SET,3380,326.56
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,20.88
17003,BROCADE RING PURSE ,22927,5969.61
17021,NAMASTE SWAGAT INCENSE,2391,632.34
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,138.1
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,443.76000000000005
17174,ASSTD RASTA KEY-CHAINS,9,3.7800000000000002
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,383.76
20615,BLUE POLKADOT PASSPORT COVER,231,233.34
20616,CHERRY BLOSSOM PASSPORT COVER,134,122.78
20617,FIRST CLASS PASSPORT COVER ,66,137.74
20618,QUEEN OF THE SKIES PASSPORT COVER ,68,137.88000000000002
20619,TROPICAL PASSPORT COVER ,142,206.23000000000002
20622,VIPPASSPORT COVER ,162,238.08
20652,BLUE POLKADOT LUGGAGE TAG ,147,191.01
20653,CHERRY BLOSSOM LUGGAGE TAG,33,43.67
20654,FIRST CLASS LUGGAGE TAG ,105,126.69
20655,QUEEN OF SKIES LUGGAGE TAG,89,109.11
20657,TROPICAL LUGGAGE TAG,61,76.39
