id,product_id,stock_level,reorder_point
1,FUR-BO-10000112,107,30
2,FUR-BO-10000330,97,30
3,FUR-BO-10000362,19,15
4,FUR-BO-10000468,111,15
5,FUR-BO-10000711,76,20
6,FUR-BO-10000780,25,15
7,FUR-BO-10001337,107,30
8,FUR-BO-10001519,126,20
9,FUR-BO-10001567,79,20
10,FUR-BO-10001601,92,20
11,FUR-BO-10001608,121,30
12,FUR-BO-10001619,104,25
13,FUR-BO-10001798,108,30
14,FUR-BO-10001811,135,15
15,FUR-BO-10001918,57,15
16,FUR-BO-10001972,6,30
17,FUR-BO-10002202,92,30
18,FUR-BO-10002206,42,20
19,FUR-BO-10002213,134,30
20,FUR-BO-10002268,25,20
21,FUR-BO-10002545,62,15
22,FUR-BO-10002598,26,20
23,FUR-BO-10002613,93,30
24,FUR-BO-10002824,53,15
25,FUR-BO-10002853,63,25
26,FUR-BO-10002916,19,20
27,FUR-BO-10003034,55,15
28,FUR-BO-10003159,112,20
29,FUR-BO-10003272,59,15
30,FUR-BO-10003404,68,15
31,FUR-BO-10003433,135,20
32,FUR-BO-10003441,55,25
33,FUR-BO-10003450,139,15
34,FUR-BO-10003546,25,15
35,FUR-BO-10003660,77,15
36,FUR-BO-10003893,22,25
37,FUR-BO-10003894,136,25
38,FUR-BO-10003965,93,30
39,FUR-BO-10003966,64,20
40,FUR-BO-10004015,18,25
41,FUR-BO-10004218,13,20
42,FUR-BO-10004357,94,30
43,FUR-BO-10004360,57,20
44,FUR-BO-10004409,134,25
45,FUR-BO-10004467,88,20
46,FUR-BO-10004690,96,25
47,FUR-BO-10004695,115,20
48,FUR-BO-10004709,12,25
49,FUR-BO-10004834,39,25
50,FUR-CH-10000015,85,20
51,FUR-CH-10000155,54,30
52,FUR-CH-10000225,108,15
53,FUR-CH-10000229,136,30
54,FUR-CH-10000309,6,20
55,FUR-CH-10000422,138,30
56,FUR-CH-10000454,58,25
57,FUR-CH-10000513,110,15
58,FUR-CH-10000553,8,20
59,FUR-CH-10000595,58,20
60,FUR-CH-10000665,48,20
61,FUR-CH-10000749,18,15
62,FUR-CH-10000785,99,25
63,FUR-CH-10000847,52,20
64,FUR-CH-10000863,19,30
65,FUR-CH-10000988,44,20
66,FUR-CH-10001146,86,20
67,FUR-CH-10001190,115,20
68,FUR-CH-10001215,57,20
69,FUR-CH-10001270,28,25
70,FUR-CH-10001394,128,30
71,FUR-CH-10001482,45,25
72,FUR-CH-10001545,19,30
73,FUR-CH-10001708,49,20
74,FUR-CH-10001714,69,15
75,FUR-CH-10001797,93,25
76,FUR-CH-10001802,75,15
77,FUR-CH-10001854,13,25
78,FUR-CH-10001891,92,20
79,FUR-CH-10001973,133,25
80,FUR-CH-10002017,140,20
81,FUR-CH-10002024,67,25
82,FUR-CH-10002044,143,20
83,FUR-CH-10002073,85,20
84,FUR-CH-10002084,140,30
85,FUR-CH-10002126,37,20
86,FUR-CH-10002304,127,30
87,FUR-CH-10002317,9,20
88,FUR-CH-10002320,45,15
89,FUR-CH-10002331,32,20
90,FUR-CH-10002335,139,15
91,FUR-CH-10002372,76,15
92,FUR-CH-10002439,16,20
93,FUR-CH-10002602,37,15
94,FUR-CH-10002647,52,30
95,FUR-CH-10002758,66,25
96,FUR-CH-10002774,41,20
97,FUR-CH-10002780,103,15
98,FUR-CH-10002880,108,20
99,FUR-CH-10002961,39,30
100,FUR-CH-10002965,105,20
101,FUR-CH-10003061,135,20
102,FUR-CH-10003199,5,15
103,FUR-CH-10003298,9,30
104,FUR-CH-10003312,146,25
105,FUR-CH-10003379,107,25
106,FUR-CH-10003396,31,15
107,FUR-CH-10003535,141,20
108,FUR-CH-10003606,19,15
109,FUR-CH-10003746,94,15
110,FUR-CH-10003761,46,15
111,FUR-CH-10003774,128,20
112,FUR-CH-10003817,67,30
113,FUR-CH-10003833,100,15
114,FUR-CH-10003846,56,20
115,FUR-CH-10003956,100,30
116,FUR-CH-10003968,136,15
117,FUR-CH-10003973,147,25
118,FUR-CH-10003981,33,30
119,FUR-CH-10004063,40,15
120,FUR-CH-10004086,17,30
121,FUR-CH-10004218,75,30
122,FUR-CH-10004287,90,30
123,FUR-CH-10004289,32,30
124,FUR-CH-10004477,70,30
125,FUR-CH-10004495,49,30
126,FUR-CH-10004540,66,15
127,FUR-CH-10004626,138,25
128,FUR-CH-10004675,32,20
129,FUR-CH-10004698,32,30
130,FUR-CH-10004754,112,20
131,FUR-CH-10004853,48,15
132,FUR-CH-10004860,88,30
133,FUR-CH-10004875,34,25
134,FUR-CH-10004886,79,20
135,FUR-CH-10004983,132,30
136,FUR-CH-10004997,96,15
137,FUR-FU-10000010,133,25
138,FUR-FU-10000023,125,20
139,FUR-FU-10000073,31,20
140,FUR-FU-10000076,125,30
141,FUR-FU-10000087,120,25
142,FUR-FU-10000175,7,25
143,FUR-FU-10000193,107,25
144,FUR-FU-10000206,141,25
145,FUR-FU-10000221,66,15
146,FUR-FU-10000222,55,25
147,FUR-FU-10000246,63,20
148,FUR-FU-10000260,122,20
149,FUR-FU-10000277,100,15
150,FUR-FU-10000293,117,20
151,FUR-FU-10000305,66,20
152,FUR-FU-10000308,56,25
153,FUR-FU-10000320,16,20
154,FUR-FU-10000397,43,15
155,FUR-FU-10000409,134,25
156,FUR-FU-10000448,135,30
157,FUR-FU-10000521,117,25
158,FUR-FU-10000550,105,15
159,FUR-FU-10000576,117,25
160,FUR-FU-10000629,85,25
161,FUR-FU-10000672,117,15
162,FUR-FU-10000719,6,25
163,FUR-FU-10000723,134,15
164,FUR-FU-10000732,58,15
165,FUR-FU-10000747,91,30
166,FUR-FU-10000755,133,20
167,FUR-FU-10000758,130,20
168,FUR-FU-10000771,134,25
169,FUR-FU-10000794,57,25
170,FUR-FU-10000820,72,30
171,FUR-FU-10000965,127,30
172,FUR-FU-10001025,149,30
173,FUR-FU-10001037,42,15
174,FUR-FU-10001057,28,30
175,FUR-FU-10001085,73,30
176,FUR-FU-10001095,120,25
177,FUR-FU-10001185,102,30
178,FUR-FU-10001196,143,15
179,FUR-FU-10001215,148,15
180,FUR-FU-10001290,101,25
181,FUR-FU-10001379,128,30
182,FUR-FU-10001424,74,30
183,FUR-FU-10001468,97,15
184,FUR-FU-10001473,7,30
185,FUR-FU-10001475,94,30
186,FUR-FU-10001487,100,30
187,FUR-FU-10001488,56,20
188,FUR-FU-10001546,132,25
189,FUR-FU-10001588,43,20
190,FUR-FU-10001591,86,25
191,FUR-FU-10001602,108,15
192,FUR-FU-10001617,133,30
193,FUR-FU-10001706,15,25
194,FUR-FU-10001731,46,20
195,FUR-FU-10001756,103,30
196,FUR-FU-10001847,11,15
197,FUR-FU-10001852,148,25
198,FUR-FU-10001861,94,25
199,FUR-FU-10001867,116,25
200,FUR-FU-10001876,64,30
201,FUR-FU-10001889,117,20
202,FUR-FU-10001918,6,20
203,FUR-FU-10001934,133,25
204,FUR-FU-10001935,52,15
205,FUR-FU-10001940,144,15
206,FUR-FU-10001967,41,20
207,FUR-FU-10001979,13,15
208,FUR-FU-10001986,103,20
209,FUR-FU-10002030,52,25
210,FUR-FU-10002045,135,20
211,FUR-FU-10002088,58,20
212,FUR-FU-10002107,124,25
213,FUR-FU-10002111,120,15
214,FUR-FU-10002116,79,20
215,FUR-FU-10002157,117,20
216,FUR-FU-10002191,108,25
217,FUR-FU-10002240,88,15
218,FUR-FU-10002253,116,20
219,FUR-FU-10002268,103,25
220,FUR-FU-10002298,97,20
221,FUR-FU-10002364,132,30
222,FUR-FU-10002379,114,25
223,FUR-FU-10002396,86,15
224,FUR-FU-10002445,58,15
225,FUR-FU-10002456,72,15
226,FUR-FU-10002501,37,15
227,FUR-FU-10002505,146,20
228,FUR-FU-10002506,25,20
229,FUR-FU-10002508,52,15
230,FUR-FU-10002553,132,15
231,FUR-FU-10002554,140,15
232,FUR-FU-10002597,139,20
233,FUR-FU-10002671,149,15
234,FUR-FU-10002685,132,15
235,FUR-FU-10002703,37,30
236,FUR-FU-10002759,119,30
237,FUR-FU-10002813,123,15
238,FUR-FU-10002874,26,25
239,FUR-FU-10002878,42,15
240,FUR-FU-10002885,113,30
241,FUR-FU-10002918,55,25
242,FUR-FU-10002937,12,25
243,FUR-FU-10002960,31,15
244,FUR-FU-10002963,31,30
245,FUR-FU-10003026,25,30
246,FUR-FU-10003039,34,25
247,FUR-FU-10003095,101,15
248,FUR-FU-10003096,32,20
249,FUR-FU-10003142,115,20
250,FUR-FU-10003192,65,30
251,FUR-FU-10003194,52,20
252,FUR-FU-10003247,8,30
253,FUR-FU-10003268,39,30
254,FUR-FU-10003274,53,30
255,FUR-FU-10003347,21,20
256,FUR-FU-10003374,50,30
257,FUR-FU-10003394,121,25
258,FUR-FU-10003424,10,15
259,FUR-FU-10003464,103,15
260,FUR-FU-10003489,128,30
261,FUR-FU-10003535,41,15
262,FUR-FU-10003553,28,20
263,FUR-FU-10003577,97,20
264,FUR-FU-10003601,50,15
265,FUR-FU-10003623,99,20
266,FUR-FU-10003664,103,15
267,FUR-FU-10003691,120,15
268,FUR-FU-10003708,71,15
269,FUR-FU-10003724,132,30
270,FUR-FU-10003731,22,15
271,FUR-FU-10003773,29,30
272,FUR-FU-10003798,58,15
273,FUR-FU-10003799,62,15
274,FUR-FU-10003806,71,15
275,FUR-FU-10003829,108,20
276,FUR-FU-10003832,28,30
277,FUR-FU-10003849,118,30
278,FUR-FU-10003878,36,15
279,FUR-FU-10003919,90,15
280,FUR-FU-10003930,131,20
