id,sale_id,amount,payment_status
1,1,261.96,Paid
2,2,731.94,Paid
3,3,14.62,Paid
4,4,957.5775,Paid
5,5,22.368,Paid
6,6,48.86,Paid
7,7,7.28,Paid
8,8,907.152,Paid
9,9,18.504,Paid
10,10,114.9,Paid
11,11,1706.184,Paid
12,12,911.424,Paid
13,13,15.552,Paid
14,14,407.976,Paid
15,15,68.81,Paid
16,16,2.544,Paid
17,17,665.88,Paid
18,18,55.5,Paid
19,19,8.56,Paid
20,20,213.48,Paid
21,21,22.72,Paid
22,22,19.46,Paid
23,23,60.34,Paid
24,24,71.372,Paid
25,25,1044.63,Paid
26,26,11.648,Paid
27,27,90.57,Paid
28,28,3083.43,Paid
29,29,9.618,Paid
30,30,124.2,Paid
31,31,3.264,Paid
32,32,86.304,Paid
33,33,6.858,Paid
34,34,15.76,Paid
35,35,29.472,Paid
36,36,1097.544,Paid
37,37,190.92,Paid
38,38,113.328,Paid
39,39,532.3992,Paid
40,40,212.058,Paid
41,41,371.168,Paid
42,42,147.168,Paid
43,43,77.88,Pending
44,44,95.616,Paid
45,45,45.98,Pending
46,46,17.46,Paid
47,47,211.96,Paid
48,48,45.0,Paid
49,49,21.8,Paid
50,50,38.22,Paid
51,51,75.18,Paid
52,52,6.16,Pending
53,53,89.99,Paid
54,54,15.26,Paid
55,55,1029.95,Pending
56,56,208.56,Paid
57,57,32.4,Paid
58,58,319.41,Paid
59,59,14.56,Paid
60,60,30.0,Pending
61,61,48.48,Paid
62,62,1.68,Paid
63,63,13.98,Paid
64,64,25.824,Paid
65,65,146.73,Paid
66,66,79.76,Paid
67,67,213.115,Paid
68,68,1113.024,Paid
69,69,167.968,Paid
70,70,75.88,Pending
71,71,4.616,Paid
72,72,19.05,Paid
73,73,831.936,Paid
74,74,97.04,Pending
75,75,72.784,Paid
76,76,1.248,Paid
77,77,9.708,Paid
78,78,27.24,Paid
79,79,19.3,Paid
80,80,208.16,Paid
81,81,16.74,Paid
82,82,14.9,Paid
83,83,21.39,Paid
84,84,200.984,Paid
85,85,230.376,Paid
86,86,301.96,Paid
87,87,19.99,Paid
88,88,6.16,Paid
89,89,158.368,Paid
90,90,20.1,Paid
91,91,73.584,Paid
92,92,6.48,Paid
93,93,12.96,Paid
94,94,53.34,Paid
95,95,32.96,Paid
96,96,5.682,Paid
97,97,96.53,Pending
98,98,51.312,Paid
99,99,77.88,Paid
100,100,64.624,Pending
101,101,95.976,Paid
102,102,1.788,Paid
103,103,23.92,Paid
104,104,238.896,Paid
105,105,102.36,Paid
106,106,36.882,Paid
107,107,74.112,Paid
108,108,27.992,Paid
109,109,3.304,Paid
110,110,339.96,Paid
111,111,41.96,Paid
112,112,75.96,Paid
113,113,27.24,Paid
114,114,40.096,Paid
115,115,4.72,Paid
116,116,23.976,Paid
117,117,130.464,Pending
118,118,787.53,Paid
119,119,157.794,Paid
120,120,47.04,Paid
121,121,30.84,Paid
122,122,226.56,Paid
123,123,115.02,Paid
124,124,68.04,Paid
125,125,600.558,Paid
126,126,617.7,Paid
127,127,2.388,Paid
128,128,243.992,Paid
129,129,81.424,Paid
130,130,238.56,Paid
131,131,59.97,Paid
132,132,78.304,Paid
133,133,21.456,Paid
134,134,20.04,Paid
135,135,35.44,Paid
136,136,11.52,Paid
137,137,4.02,Paid
138,138,76.176,Paid
139,139,65.88,Paid
140,140,43.12,Paid
141,141,82.8,Paid
142,142,8.82,Paid
143,143,10.86,Paid
144,144,143.7,Paid
145,145,839.43,Paid
146,146,671.93,Paid
147,147,93.888,Paid
148,148,384.45,Paid
149,149,149.97,Paid
150,150,1951.84,Paid
151,151,171.55,Paid
152,152,157.92,Paid
153,153,203.184,Paid
154,154,58.38,Paid
155,155,105.52,Paid
156,156,80.88,Paid
157,157,6.63,Paid
158,158,457.568,Pending
159,159,14.62,Paid
160,160,944.93,Paid
161,161,5.98,Paid
162,162,54.384,Paid
163,163,28.4,Paid
164,164,27.68,Pending
165,165,9.936,Paid
166,166,8159.952,Paid
167,167,275.928,Paid
168,168,1740.06,Paid
169,169,32.064,Paid
170,170,177.98,Paid
171,171,143.976,Paid
172,172,20.94,Paid
173,173,110.96,Paid
174,174,340.144,Paid
175,175,52.448,Paid
176,176,20.16,Paid
177,177,97.264,Paid
178,178,396.802,Pending
179,179,15.88,Paid
180,180,3.28,Paid
181,181,24.816,Paid
182,182,408.744,Paid
183,183,503.96,Paid
184,184,149.95,Pending
185,185,29.0,Paid
186,186,7.16,Paid
187,187,176.8,Paid
188,188,37.224,Paid
189,189,20.016,Paid
190,190,899.136,Paid
191,191,71.76,Pending
192,192,51.84,Paid
193,193,626.352,Paid
194,194,19.9,Paid
195,195,14.28,Paid
