order_id,order_time,item_id,quantity,unit_price,total_amount,outlet_id,patron_id,payment_mode
ORD-50001,2025-02-08 17:04:00,M105,3,149.0,447.0,OUT-KOL,PAT-2004,Card
ORD-50002,2025-01-12 18:07:00,M110,3,239.0,717.0,OUT-BLR,PAT-2009,Card
ORD-50003,2025-01-09 22:43:00,M109,1,269.0,269.0,OUT-KOL,PAT-2016,Cash
ORD-50004,2025-03-26 14:48:00,M107,2,219.0,438.0,OUT-BLR,PAT-2021,Card
ORD-50005,2025-03-04 17:29:00,M101,3,249.0,747.0,OUT-BBSR,PAT-2010,UPI
ORD-50006,2025-02-12 17:01:00,M103,3,329.0,987.0,OUT-BLR,PAT-2021,UPI
ORD-50007,2025-02-02 21:51:00,M103,1,329.0,329.0,OUT-BLR,WALKIN,Unknown
ORD-50008,2025-02-07 17:08:00,M107,1,219.0,219.0,OUT-BBSR,PAT-2012,Cash
ORD-50009,2025-01-19 11:27:00,M105,4,149.0,596.0,OUT-BLR,PAT-2001,UPI
ORD-50010,2025-02-23 20:05:00,M106,1,179.0,179.0,OUT-BBSR,PAT-2001,Card
ORD-50011,2025-02-06 12:35:00,M108,1,159.0,159.0,OUT-KOL,PAT-2003,Unknown
ORD-50012,2025-02-06 22:17:00,M103,3,329.0,987.0,OUT-BLR,PAT-2022,UPI
ORD-50013,2025-03-04 18:30:00,M102,1,129.0,129.0,OUT-KOL,PAT-2021,Unknown
ORD-50014,2025-02-11 15:21:00,M103,1,329.0,329.0,OUT-KOL,PAT-2010,UPI
ORD-50015,2025-03-08 19:30:00,M109,3,269.0,807.0,OUT-BBSR,PAT-2006,Cash
ORD-50016,2025-04-01 17:17:00,M107,1,219.0,219.0,OUT-BBSR,WALKIN,Card
ORD-50017,2025-02-14 15:56:00,M106,4,179.0,716.0,OUT-BBSR,WALKIN,Card
ORD-50018,2025-01-29 12:22:00,M108,1,159.0,159.0,OUT-BBSR,PAT-2022,Wallet
ORD-50019,2025-03-02 10:45:00,M112,2,199.0,398.0,OUT-BBSR,PAT-2023,UPI
ORD-50020,2025-03-23 15:32:00,M109,4,269.0,1076.0,OUT-BBSR,PAT-2006,Cash
ORD-50021,2025-01-18 20:06:00,M112,3,199.0,597.0,OUT-BBSR,PAT-2001,Cash
ORD-50022,2025-03-05 12:25:00,M102,5,129.0,645.0,OUT-BBSR,PAT-2001,UPI
ORD-50023,2025-01-15 13:29:00,M101,4,249.0,996.0,OUT-KOL,PAT-2017,Cash
ORD-50024,2025-02-14 18:10:00,M103,2,329.0,658.0,OUT-KOL,PAT-2011,Wallet
ORD-50025,2025-01-17 12:06:00,M110,3,239.0,717.0,OUT-KOL,PAT-2006,Card
ORD-50026,2025-02-18 14:05:00,M101,5,249.0,1245.0,OUT-BLR,PAT-2015,Card
ORD-50027,2025-03-28 14:49:00,M103,4,329.0,1316.0,OUT-KOL,PAT-2018,UPI
ORD-50028,2025-02-11 09:00:00,M106,3,179.0,537.0,OUT-BLR,PAT-2006,UPI
ORD-50029,2025-02-20 15:00:00,M102,3,129.0,387.0,OUT-BLR,PAT-2024,Cash
ORD-50030,2025-01-25 17:31:00,M111,3,189.0,567.0,OUT-BLR,PAT-2004,Cash
ORD-50031,2025-01-08 13:17:00,M101,5,249.0,1245.0,OUT-BLR,PAT-2021,Wallet
ORD-50032,2025-02-04 21:27:00,M111,3,189.0,567.0,OUT-BBSR,PAT-2005,Unknown
ORD-50033,2025-03-18 20:31:00,M104,2,299.0,598.0,OUT-BBSR,PAT-2004,Card
ORD-50034,2025-03-26 11:20:00,M108,1,159.0,159.0,OUT-BLR,PAT-2009,Card
ORD-50035,2025-03-02 17:07:00,M101,5,249.0,1245.0,OUT-KOL,PAT-2006,Wallet
ORD-50036,2025-01-16 16:52:00,M102,5,129.0,645.0,OUT-BBSR,PAT-2001,Cash
ORD-50037,2025-01-07 22:02:00,M101,4,249.0,996.0,OUT-BBSR,PAT-2010,Cash
ORD-50038,2025-02-13 16:52:00,M102,4,129.0,516.0,OUT-BBSR,PAT-2011,Cash
ORD-50039,2025-01-25 19:22:00,M106,2,179.0,358.0,OUT-BLR,PAT-2016,Unknown
ORD-50040,2025-01-19 19:43:00,M109,3,269.0,807.0,OUT-BBSR,WALKIN,Card
ORD-50041,2025-02-15 08:24:00,M102,2,129.0,258.0,OUT-BLR,PAT-2023,Cash
ORD-50042,2025-03-08 16:49:00,M106,2,179.0,358.0,OUT-BBSR,PAT-2003,Cash
ORD-50043,2025-01-10 13:57:00,M109,3,269.0,807.0,OUT-KOL,PAT-2007,Wallet
ORD-50044,2025-03-24 16:27:00,M111,2,189.0,378.0,OUT-KOL,PAT-2004,Unknown
ORD-50045,2025-03-10 10:13:00,M111,4,189.0,756.0,OUT-KOL,PAT-2008,Cash
ORD-50046,2025-02-18 21:20:00,M109,1,269.0,269.0,OUT-BBSR,PAT-2018,Card
ORD-50047,2025-03-12 22:07:00,M106,4,179.0,716.0,OUT-KOL,PAT-2014,UPI
ORD-50048,2025-03-10 08:14:00,M103,4,329.0,1316.0,OUT-BBSR,PAT-2023,UPI
ORD-50049,2025-03-18 10:37:00,M107,4,219.0,876.0,OUT-BBSR,PAT-2016,Cash
ORD-50050,2025-01-14 22:50:00,M109,4,269.0,1076.0,OUT-KOL,PAT-2016,Card
ORD-50051,2025-01-09 18:00:00,M109,2,269.0,538.0,OUT-BBSR,PAT-2013,Card
ORD-50052,2025-02-10 16:47:00,M106,1,179.0,179.0,OUT-KOL,PAT-2006,Unknown
ORD-50053,2025-02-08 13:59:00,M107,4,219.0,876.0,OUT-BLR,PAT-2017,Card
ORD-50054,2025-02-08 11:58:00,M108,3,159.0,477.0,OUT-BBSR,PAT-2007,Cash
ORD-50055,2025-01-01 17:41:00,M105,2,149.0,298.0,OUT-BBSR,PAT-2005,UPI
ORD-50056,2025-01-27 08:19:00,M111,5,189.0,945.0,OUT-BLR,PAT-2013,Cash
ORD-50057,2025-01-02 19:00:00,M110,4,239.0,956.0,OUT-BLR,PAT-2022,UPI
ORD-50058,2025-02-17 18:07:00,M108,3,159.0,477.0,OUT-BBSR,PAT-2008,Wallet
ORD-50059,2025-02-15 14:02:00,M104,4,299.0,1196.0,OUT-BBSR,PAT-2003,UPI
ORD-50060,2025-03-24 11:48:00,M107,2,219.0,438.0,OUT-BLR,PAT-2006,UPI
ORD-50061,2025-01-12 12:00:00,M109,4,269.0,1076.0,OUT-KOL,PAT-2008,Unknown
ORD-50062,2025-01-20 09:01:00,M109,5,269.0,1345.0,OUT-KOL,WALKIN,Card
ORD-50063,2025-01-14 21:03:00,M107,3,219.0,657.0,OUT-KOL,PAT-2005,UPI
ORD-50064,2025-03-19 21:34:00,M107,3,219.0,657.0,OUT-KOL,PAT-2025,UPI
ORD-50065,2025-03-22 16:59:00,M104,5,299.0,1495.0,OUT-BLR,PAT-2014,Card
ORD-50066,2025-02-04 12:53:00,M109,4,269.0,1076.0,OUT-KOL,PAT-2002,Unknown
ORD-50067,2025-02-14 17:33:00,M107,1,219.0,219.0,OUT-KOL,PAT-2024,Card
ORD-50068,2025-03-04 08:08:00,M112,2,199.0,398.0,OUT-BLR,PAT-2013,Cash
ORD-50069,2025-02-18 14:36:00,M103,4,329.0,1316.0,OUT-KOL,PAT-2001,Wallet
ORD-50070,2025-02-14 20:55:00,M103,1,329.0,329.0,OUT-KOL,PAT-2013,UPI
ORD-50071,2025-01-14 22:00:00,M106,2,179.0,358.0,OUT-KOL,PAT-2015,Unknown
ORD-50072,2025-01-09 19:45:00,M112,5,199.0,995.0,OUT-BLR,PAT-2021,Cash
ORD-50073,2025-03-11 21:05:00,M101,3,249.0,747.0,OUT-KOL,PAT-2010,UPI
ORD-50074,2025-03-27 22:52:00,M111,3,189.0,567.0,OUT-BLR,PAT-2014,Cash
ORD-50075,2025-03-15 13:15:00,M106,5,179.0,895.0,OUT-BLR,PAT-2013,Cash
ORD-50076,2025-03-13 21:47:00,M102,1,129.0,129.0,OUT-BBSR,PAT-2006,Unknown
ORD-50077,2025-02-03 09:10:00,M111,3,189.0,567.0,OUT-BBSR,PAT-2001,UPI
ORD-50078,2025-03-17 21:09:00,M105,5,149.0,745.0,OUT-KOL,PAT-2024,Wallet
ORD-50079,2025-03-29 21:36:00,M112,4,199.0,796.0,OUT-KOL,PAT-2010,Card
ORD-50080,2025-03-25 12:06:00,M106,5,179.0,895.0,OUT-KOL,PAT-2013,Wallet
ORD-50081,2025-01-10 18:02:00,M105,3,149.0,447.0,OUT-BBSR,PAT-2013,Card
ORD-50082,2025-01-25 17:41:00,M103,1,329.0,329.0,OUT-KOL,PAT-2023,Cash
ORD-50083,2025-01-01 16:43:00,M105,2,149.0,298.0,OUT-KOL,WALKIN,Cash
ORD-50084,2025-03-13 21:18:00,M107,4,219.0,876.0,OUT-BBSR,PAT-2007,Card
ORD-50085,2025-03-03 08:28:00,M106,1,179.0,179.0,OUT-BLR,PAT-2012,Card
ORD-50086,2025-03-26 09:11:00,M101,1,249.0,249.0,OUT-BLR,PAT-2009,Unknown
ORD-50087,2025-02-17 17:35:00,M109,3,269.0,807.0,OUT-BLR,PAT-2010,Unknown
ORD-50088,2025-02-25 17:05:00,M101,2,249.0,498.0,OUT-KOL,PAT-2022,UPI
ORD-50089,2025-02-27 10:48:00,M110,1,239.0,239.0,OUT-KOL,PAT-2012,Card
ORD-50090,2025-01-05 14:18:00,M110,5,239.0,1195.0,OUT-BLR,WALKIN,Card
ORD-50091,2025-01-10 09:32:00,M106,1,179.0,179.0,OUT-KOL,PAT-2019,Cash
ORD-50092,2025-03-22 17:59:00,M104,1,299.0,299.0,OUT-KOL,PAT-2018,Unknown
ORD-50093,2025-01-23 11:44:00,M106,1,179.0,179.0,OUT-BLR,WALKIN,UPI
ORD-50094,2025-02-03 14:55:00,M110,1,239.0,239.0,OUT-BBSR,PAT-2019,Card
ORD-50095,2025-02-07 09:25:00,M101,1,249.0,249.0,OUT-KOL,PAT-2004,Unknown
ORD-50096,2025-03-06 20:35:00,M106,5,179.0,895.0,OUT-BBSR,PAT-2018,Wallet
ORD-50097,2025-03-23 09:56:00,M102,4,129.0,516.0,OUT-KOL,PAT-2020,Unknown
ORD-50098,2025-01-30 18:23:00,M103,3,329.0,987.0,OUT-BBSR,PAT-2009,UPI
ORD-50099,2025-03-17 21:35:00,M110,2,239.0,478.0,OUT-BLR,PAT-2017,Unknown
ORD-50100,2025-01-25 16:00:00,M109,4,269.0,1076.0,OUT-BBSR,PAT-2016,Wallet
ORD-50101,2025-03-11 15:52:00,M112,5,199.0,995.0,OUT-BLR,PAT-2005,Unknown
ORD-50102,2025-01-07 10:40:00,M101,5,249.0,1245.0,OUT-BLR,PAT-2023,Cash
ORD-50103,2025-03-06 22:27:00,M101,4,249.0,996.0,OUT-KOL,PAT-2018,UPI
ORD-50104,2025-03-29 19:58:00,M109,1,269.0,269.0,OUT-KOL,PAT-2004,Cash
ORD-50105,2025-03-04 17:58:00,M110,2,239.0,478.0,OUT-KOL,PAT-2003,Card
ORD-50106,2025-01-29 20:54:00,M104,3,299.0,897.0,OUT-BLR,PAT-2009,Wallet
ORD-50107,2025-02-15 17:51:00,M111,5,189.0,945.0,OUT-KOL,PAT-2016,UPI
ORD-50108,2025-01-27 08:57:00,M112,3,199.0,597.0,OUT-BBSR,PAT-2001,UPI
ORD-50109,2025-02-25 08:04:00,M104,2,299.0,598.0,OUT-KOL,PAT-2023,Cash
ORD-50110,2025-03-29 19:19:00,M106,4,179.0,716.0,OUT-BBSR,PAT-2015,Card
ORD-50111,2025-02-11 16:35:00,M101,5,249.0,1245.0,OUT-BBSR,PAT-2012,UPI
ORD-50112,2025-02-04 11:15:00,M110,5,239.0,1195.0,OUT-KOL,PAT-2005,Card
ORD-50113,2025-03-29 15:50:00,M107,3,219.0,657.0,OUT-BBSR,WALKIN,Unknown
ORD-50114,2025-03-18 11:34:00,M111,2,189.0,378.0,OUT-BLR,PAT-2012,UPI
ORD-50115,2025-01-27 16:44:00,M111,2,189.0,378.0,OUT-BLR,PAT-2021,Unknown
ORD-50116,2025-02-09 09:04:00,M102,5,129.0,645.0,OUT-BLR,PAT-2022,Card
ORD-50117,2025-02-01 09:34:00,M104,5,299.0,1495.0,OUT-BLR,PAT-2007,UPI
ORD-50118,2025-02-11 11:47:00,M101,5,249.0,1245.0,OUT-BLR,PAT-2025,Cash
ORD-50119,2025-01-02 08:45:00,M109,2,269.0,538.0,OUT-BLR,PAT-2019,Cash
ORD-50120,2025-01-15 14:08:00,M103,5,329.0,1645.0,OUT-BBSR,WALKIN,UPI
ORD-50121,2025-03-05 19:08:00,M105,3,149.0,447.0,OUT-BBSR,PAT-2017,Cash
ORD-50122,2025-01-06 17:33:00,M103,4,329.0,1316.0,OUT-KOL,WALKIN,Wallet
ORD-50123,2025-01-01 18:15:00,M106,1,179.0,179.0,OUT-BLR,PAT-2013,Cash
ORD-50124,2025-03-14 18:11:00,M108,3,159.0,477.0,OUT-BLR,PAT-2020,Card
ORD-50125,2025-03-13 19:59:00,M104,4,299.0,1196.0,OUT-BLR,PAT-2002,Card
ORD-50126,2025-02-17 13:39:00,M109,3,269.0,807.0,OUT-BBSR,PAT-2013,Unknown
ORD-50127,2025-01-16 17:31:00,M106,2,179.0,358.0,OUT-KOL,PAT-2005,Unknown
ORD-50128,2025-01-11 18:00:00,M111,1,189.0,189.0,OUT-BLR,PAT-2014,Card
ORD-50129,2025-02-23 13:28:00,M110,2,239.0,478.0,OUT-KOL,WALKIN,Card
ORD-50130,2025-02-13 12:32:00,M101,5,249.0,1245.0,OUT-KOL,PAT-2019,Cash
ORD-50131,2025-02-15 18:52:00,M106,4,179.0,716.0,OUT-KOL,PAT-2025,Unknown
ORD-50132,2025-01-09 16:18:00,M101,2,249.0,498.0,OUT-BBSR,PAT-2015,UPI
ORD-50133,2025-03-26 08:40:00,M107,5,219.0,1095.0,OUT-BBSR,PAT-2018,UPI
ORD-50134,2025-03-09 13:18:00,M106,1,179.0,179.0,OUT-BLR,WALKIN,Cash
ORD-50135,2025-02-17 15:24:00,M102,1,129.0,129.0,OUT-BLR,PAT-2022,Card
ORD-50136,2025-03-19 14:15:00,M109,4,269.0,1076.0,OUT-KOL,PAT-2006,Cash
ORD-50137,2025-03-10 13:07:00,M107,3,219.0,657.0,OUT-BBSR,PAT-2006,Card
ORD-50138,2025-02-07 20:42:00,M112,4,199.0,796.0,OUT-BLR,PAT-2010,Unknown
ORD-50139,2025-03-29 22:56:00,M103,4,329.0,1316.0,OUT-KOL,WALKIN,Wallet
ORD-50140,2025-02-08 12:27:00,M101,3,249.0,747.0,OUT-KOL,PAT-2010,Wallet
ORD-50141,2025-02-01 19:08:00,M107,2,219.0,438.0,OUT-BLR,PAT-2024,Wallet
ORD-50142,2025-01-12 13:04:00,M108,2,159.0,318.0,OUT-BBSR,PAT-2007,UPI
ORD-50143,2025-02-05 13:42:00,M112,5,199.0,995.0,OUT-KOL,PAT-2015,Card
ORD-50144,2025-02-04 12:40:00,M108,2,159.0,318.0,OUT-BBSR,PAT-2016,UPI
ORD-50145,2025-01-16 11:49:00,M106,5,179.0,895.0,OUT-BBSR,PAT-2016,Cash
ORD-50146,2025-03-25 21:40:00,M108,5,159.0,795.0,OUT-KOL,PAT-2001,UPI
ORD-50147,2025-03-17 16:18:00,M110,1,239.0,239.0,OUT-BBSR,PAT-2003,Cash
ORD-50148,2025-02-12 10:43:00,M110,4,239.0,956.0,OUT-BLR,PAT-2004,Card
ORD-50149,2025-01-09 09:02:00,M106,5,179.0,895.0,OUT-BBSR,PAT-2017,Card
ORD-50150,2025-02-15 10:42:00,M111,1,189.0,189.0,OUT-BBSR,PAT-2019,Card
ORD-50151,2025-03-27 22:33:00,M105,5,149.0,745.0,OUT-BLR,PAT-2008,Wallet
ORD-50152,2025-01-19 17:54:00,M109,1,269.0,269.0,OUT-BBSR,PAT-2007,UPI
ORD-50153,2025-02-12 11:40:00,M112,1,199.0,199.0,OUT-BLR,PAT-2019,Card
ORD-50154,2025-02-24 17:55:00,M105,4,149.0,596.0,OUT-KOL,PAT-2011,Cash
ORD-50155,2025-02-14 09:14:00,M108,2,159.0,318.0,OUT-BBSR,PAT-2001,Card
ORD-50156,2025-02-22 15:43:00,M104,3,299.0,897.0,OUT-KOL,PAT-2005,Unknown
ORD-50157,2025-01-14 16:57:00,M107,4,219.0,876.0,OUT-BLR,PAT-2002,Cash
ORD-50158,2025-03-27 14:29:00,M112,4,199.0,796.0,OUT-BLR,PAT-2013,Cash
ORD-50159,2025-03-30 10:53:00,M109,5,269.0,1345.0,OUT-BBSR,PAT-2015,UPI
ORD-50160,2025-03-19 20:58:00,M101,3,249.0,747.0,OUT-BLR,PAT-2004,Cash
ORD-50161,2025-03-03 11:11:00,M110,5,239.0,1195.0,OUT-BBSR,PAT-2011,UPI
ORD-50162,2025-01-18 12:05:00,M101,5,249.0,1245.0,OUT-BBSR,PAT-2025,Cash
ORD-50163,2025-01-10 20:58:00,M105,4,149.0,596.0,OUT-BLR,PAT-2021,Cash
ORD-50164,2025-03-27 14:31:00,M111,1,189.0,189.0,OUT-KOL,PAT-2014,Cash
ORD-50165,2025-02-14 09:15:00,M108,1,159.0,159.0,OUT-BBSR,WALKIN,Unknown
ORD-50166,2025-01-26 22:22:00,M104,2,299.0,598.0,OUT-BBSR,PAT-2011,Card
ORD-50167,2025-01-22 10:22:00,M108,3,159.0,477.0,OUT-BBSR,PAT-2010,Wallet
ORD-50168,2025-02-10 10:26:00,M108,1,159.0,159.0,OUT-KOL,PAT-2008,UPI
ORD-50169,2025-01-16 21:18:00,M112,3,199.0,597.0,OUT-KOL,PAT-2023,Wallet
ORD-50170,2025-03-15 15:27:00,M105,1,149.0,149.0,OUT-BBSR,PAT-2012,Card
ORD-50171,2025-01-09 10:42:00,M102,4,129.0,516.0,OUT-BBSR,PAT-2017,UPI
ORD-50172,2025-02-09 08:07:00,M103,3,329.0,987.0,OUT-BBSR,PAT-2018,Cash
ORD-50173,2025-01-12 19:12:00,M103,2,329.0,658.0,OUT-BLR,PAT-2015,UPI
ORD-50174,2025-03-15 09:51:00,M104,3,299.0,897.0,OUT-KOL,PAT-2012,Card
ORD-50175,2025-03-17 21:20:00,M109,1,269.0,269.0,OUT-BLR,PAT-2008,UPI
ORD-50176,2025-01-02 08:06:00,M103,5,329.0,1645.0,OUT-KOL,PAT-2017,Unknown
ORD-50177,2025-03-11 11:06:00,M102,5,129.0,645.0,OUT-KOL,PAT-2023,Unknown
ORD-50178,2025-02-19 12:08:00,M104,1,299.0,299.0,OUT-BLR,PAT-2008,Unknown
ORD-50179,2025-03-18 16:17:00,M106,5,179.0,895.0,OUT-BBSR,PAT-2021,UPI
ORD-50180,2025-02-18 18:26:00,M103,3,329.0,987.0,OUT-BBSR,PAT-2020,Wallet
ORD-50181,2025-02-14 08:12:00,M102,4,129.0,516.0,OUT-BLR,PAT-2010,UPI
ORD-50182,2025-03-11 19:31:00,M109,2,269.0,538.0,OUT-KOL,PAT-2017,UPI
ORD-50183,2025-02-05 10:35:00,M110,2,239.0,478.0,OUT-BLR,PAT-2025,Card
ORD-50184,2025-03-25 18:02:00,M105,5,149.0,745.0,OUT-KOL,WALKIN,UPI
ORD-50185,2025-01-04 16:10:00,M101,4,249.0,996.0,OUT-BLR,PAT-2015,Cash
ORD-50186,2025-02-23 15:17:00,M112,1,199.0,199.0,OUT-BLR,PAT-2018,UPI
ORD-50187,2025-02-16 14:51:00,M104,1,299.0,299.0,OUT-BLR,PAT-2006,Wallet
ORD-50188,2025-01-22 20:02:00,M106,5,179.0,895.0,OUT-KOL,PAT-2018,Wallet
ORD-50189,2025-03-02 11:54:00,M102,2,129.0,258.0,OUT-BBSR,PAT-2012,Card
ORD-50190,2025-03-01 18:20:00,M110,1,239.0,239.0,OUT-BBSR,PAT-2007,Card
ORD-50191,2025-03-23 22:09:00,M105,2,149.0,298.0,OUT-BLR,PAT-2015,Unknown
ORD-50192,2025-03-22 10:06:00,M104,3,299.0,897.0,OUT-KOL,PAT-2002,Cash
ORD-50193,2025-03-29 17:17:00,M101,2,249.0,498.0,OUT-KOL,PAT-2007,Wallet
ORD-50194,2025-02-13 21:26:00,M105,4,149.0,596.0,OUT-KOL,PAT-2022,UPI
ORD-50195,2025-01-10 10:07:00,M101,3,249.0,747.0,OUT-BLR,WALKIN,Unknown
ORD-50196,2025-02-27 10:04:00,M112,3,199.0,597.0,OUT-BBSR,PAT-2016,Cash
ORD-50197,2025-02-14 20:42:00,M107,2,219.0,438.0,OUT-BBSR,PAT-2019,UPI
ORD-50198,2025-02-24 09:27:00,M108,4,159.0,636.0,OUT-BBSR,PAT-2014,Wallet
ORD-50199,2025-01-23 13:57:00,M111,5,189.0,945.0,OUT-BLR,PAT-2008,Card
ORD-50200,2025-02-25 10:50:00,M103,4,329.0,1316.0,OUT-BLR,PAT-2010,UPI
ORD-50201,2025-01-15 20:15:00,M106,1,179.0,179.0,OUT-KOL,PAT-2021,Cash
ORD-50202,2025-01-11 22:32:00,M102,5,129.0,645.0,OUT-BLR,PAT-2021,Cash
ORD-50203,2025-01-31 21:42:00,M108,5,159.0,795.0,OUT-KOL,PAT-2008,Card
ORD-50204,2025-02-09 09:57:00,M111,2,189.0,378.0,OUT-BBSR,PAT-2001,UPI
ORD-50205,2025-02-21 08:31:00,M109,3,269.0,807.0,OUT-KOL,PAT-2006,UPI
ORD-50206,2025-02-18 13:48:00,M109,2,269.0,538.0,OUT-KOL,PAT-2020,Card
ORD-50207,2025-01-28 21:55:00,M111,3,189.0,567.0,OUT-BBSR,PAT-2009,UPI
ORD-50208,2025-02-06 22:17:00,M102,1,129.0,129.0,OUT-BLR,PAT-2007,Cash
