product_id,name,category,unit_price
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,91.69
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,102.83
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,145.33
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,43.72
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,70.98
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,136.67
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,102.83
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,49.42
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,30.29
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,89.07
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,56.78
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,76.48
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,108.055
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,204.67
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,128.78
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,60.49
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,118.08000000000001
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,119.83
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,400.78
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,55.07
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,215.305
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,70.98
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,224.78
FUR-BO-10002824,Bush Mission Pointe Library,Furniture,120.78
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,73.745
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,170.98
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,104.78
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,97.73
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,176.78
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,430.98
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,24.78
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,80.78
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,57.98
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,85.83500000000001
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,220.98
FUR-BO-10003893,Sauder Camden County Collection Library,Furniture,87.96000000000001
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,60.33
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,133.925
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,145.33
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,101.99
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,119.83
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,170.83
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,135.225
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,54.3
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,76.49
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,116.85999999999999
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,153.83
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,46.38
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,704.78
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,194.94
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,239.24
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,64.78
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,203.235
FUR-CH-10000309,Global Comet Stacking Arm Chair,Furniture,338.01
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,72.79
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,207.38
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,103.99
FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",Furniture,30.55
FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,202.64
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,120.78
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,162.88
FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,162.88
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Furniture,261.88
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,113.235
FUR-CH-10000988,Hon Olson Stacker Stools,Furniture,112.65
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,42.62
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,Furniture,108.79
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,400.78
FUR-CH-10001270,Harbour Creations Steel Folding Chair,Furniture,69.0
FUR-CH-10001394,Global Leather Executive Chair,Furniture,280.79
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,104.78
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,Furniture,96.88
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,112.78
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",Furniture,120.71
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",Furniture,32.705
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,Furniture,96.78
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,315.88
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,81.58
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,Furniture,77.69
FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Furniture,21.31
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,560.78
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,98.235
FUR-CH-10002073,Hon Olson Stacker Chairs,Furniture,251.54
FUR-CH-10002084,Hon Mobius Operator's Chair,Furniture,122.99
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,170.79
FUR-CH-10002304,"Global Stack Chair without Arms, Black",Furniture,20.78
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,Furniture,207.18
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,288.88
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,302.58
FUR-CH-10002335,Hon GuestStacker Chair,Furniture,204.0
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,64.78
FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,49.489999999999995
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,120.78
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,56.78
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",Furniture,182.985
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,40.78
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,Furniture,77.33
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,98.39
FUR-CH-10002961,"Leather Task Chair, Black",Furniture,72.78
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,160.78
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,71.99
FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Furniture,88.78
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,104.78
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,224.78
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,227.98
FUR-CH-10003396,Global Deluxe Steno Chair,Furniture,61.58
FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Furniture,51.83
FUR-CH-10003606,SAFCO Folding Chair Trolley,Furniture,102.59
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,288.88
FUR-CH-10003761,Global Italian Leather Office Chair,Furniture,111.335
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,68.235
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,48.59
FUR-CH-10003833,Novimex Fabric Task Chair,Furniture,48.78
FUR-CH-10003846,Hon Valutask Swivel Chairs,Furniture,95.93
FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,Furniture,56.78
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,60.33
FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,Furniture,297.41
FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,179.89
