id,product_id,customer_id,quantity,sales_amount,sale_date
1,FUR-BO-10001798,CG-12520,2,261.96,2016-11-08
2,FUR-CH-10000454,CG-12520,3,731.94,2016-11-08
3,OFF-LA-10000240,DV-13045,2,14.62,2016-06-12
4,FUR-TA-10000577,SO-20335,5,957.5775,2015-10-11
5,OFF-ST-10000760,SO-20335,2,22.368,2015-10-11
6,FUR-FU-10001487,BH-11710,7,48.86,2014-06-09
7,OFF-AR-10002833,BH-11710,4,7.28,2014-06-09
8,TEC-PH-10002275,BH-11710,6,907.152,2014-06-09
9,OFF-BI-10003910,BH-11710,3,18.504,2014-06-09
10,OFF-AP-10002892,BH-11710,5,114.9,2014-06-09
11,FUR-TA-10001539,BH-11710,9,1706.184,2014-06-09
12,TEC-PH-10002033,BH-11710,4,911.424,2014-06-09
13,OFF-PA-10002365,AA-10480,3,15.552,2017-04-15
14,OFF-BI-10003656,IM-15070,3,407.976,2016-12-05
15,OFF-AP-10002311,HP-14815,5,68.81,2015-11-22
16,OFF-BI-10000756,HP-14815,3,2.544,2015-11-22
17,OFF-ST-10004186,PK-19075,6,665.88,2014-11-11
18,OFF-ST-10000107,AG-10270,2,55.5,2014-05-13
19,OFF-AR-10003056,ZD-21925,2,8.56,2014-08-27
20,TEC-PH-10001949,ZD-21925,3,213.48,2014-08-27
21,OFF-BI-10002215,ZD-21925,4,22.72,2014-08-27
22,OFF-AR-10000246,KB-16585,7,19.46,2016-12-09
23,OFF-AP-10001492,KB-16585,7,60.34,2016-12-09
24,FUR-CH-10002774,SF-20065,2,71.372,2017-07-16
25,FUR-TA-10000577,EB-13870,3,1044.63,2015-09-25
26,OFF-BI-10001634,EH-13945,2,11.648,2016-01-16
27,TEC-AC-10003027,EH-13945,3,90.57,2016-01-16
28,FUR-BO-10004834,TB-21520,7,3083.43,2015-09-17
29,OFF-BI-10000474,TB-21520,2,9.618,2015-09-17
30,FUR-FU-10004848,TB-21520,3,124.2,2015-09-17
31,OFF-EN-10001509,TB-21520,2,3.264,2015-09-17
32,OFF-AR-10004042,TB-21520,6,86.304,2015-09-17
