order_id,order_time,item_id,item_name,category,unit_price,quantity,total_amount,outlet_id,patron_id,payment_mode,stock_units,reorder_level
ORD-50001,2025/02/08 17:04,M105,Mango Basil Cooler,Beverages,149.0,3,447.0,OUT-KOL,PAT-2004,Card,70,15
ORD-50002,2025-01-12 18:07:00,M110,Classic Cheese Burger,Main Course,239.0,3,717.0,OUT-BLR,PAT-2009,Card,30,8
ORD-50003,2025-01-09 22:43:00,M109,Loaded Nachos Platter,starters,269.0,1,269.0,OUT-KOL,PAT-2016,cash,5,10
ORD-50004,2025-03-26 14:48:00,M107,Veg Hakka Noodles,Main Course,219.0,2,438.0,OUT-BLR,PAT-2021,card,45,10
ORD-50005,2025-03-04 17:29:00,M101,Paneer Tikka Skewers,Starters,249.0,3,747.0,OUT-BBSR,PAT-2010,UPI,40,10
ORD-50006,2025-02-12 17:01:00,M103,Butter Chicken Bowl,Main Course,329.0,3,987.0,OUT-BLR,PAT-2021,UPI,35,8
ORD-50007,2025-02-02 21:51:00,M103,Butter Chicken Bowl,Main Course,329.0,1,329.0,OUT-BLR,,,35,8
ORD-50008,2025-02-07 17:08:00,M107,Veg Hakka Noodles,Main Course,219.0,1,219.0,OUT-BBSR,PAT-2012,cash,45,10
ORD-50009,2025-01-19 11:27:00,M105,Mango Basil Cooler,Beverages,149.0,4,596.0,OUT-BLR,PAT-2001,UPI,70,15
ORD-50010,2025-02-23 20:05:00,M106,Choco Lava Cake,Desserts,179.0,1,179.0,OUT-BBSR,PAT-2001,Card,8,12
ORD-50011,2025-02-06 12:35:00,M108,Cold Brew Coffee,beverages,159.0,1,159.0,OUT-KOL,PAT-2003,,60,15
ORD-50012,2025-02-06 22:17:00,M103,Butter Chicken Bowl,Main Course,329.0,3,987.0,OUT-BLR,PAT-2022,UPI,35,8
ORD-50013,2025-03-04 18:30:00,M102,Peri-Peri Fries,Sides,129.0,1,129.0,OUT-KOL,PAT-2021,,90,20
ORD-50014,2025-02-11 15:21:00,M103,Butter Chicken Bowl,Main Course,329.0,1,329.0,OUT-KOL,PAT-2010,UPI,35,8
ORD-50015,2025-03-08 19:30:00,M109,Loaded Nachos Platter,starters,269.0,3,807.0,OUT-BBSR,PAT-2006,cash,5,10
ORD-50016,2025/04/01 17:17,M107,Veg Hakka Noodles,Main Course,219.0,1,219.0,OUT-BBSR,,card,45,10
ORD-50017,2025-02-14 15:56:00,M106,Choco Lava Cake,Desserts,179.0,4,716.0,OUT-BBSR,,card,8,12
ORD-50018,2025-01-29 12:22:00,M108,Cold Brew Coffee,beverages,159.0,1,159.0,OUT-BBSR,PAT-2022,Wallet,60,15
ORD-50019,2025-03-02 10:45:00,M112,Blueberry Cheesecake,Desserts,199.0,2,398.0,OUT-BBSR,PAT-2023,upi,15,6
ORD-50020,2025-03-23 15:32:00,M109,Loaded Nachos Platter,starters,269.0,4,1076.0,OUT-BBSR,PAT-2006,Cash,5,10
ORD-50021,18-01-2025 20:06:00,M112,Blueberry Cheesecake,Desserts,199.0,3,597.0,OUT-BBSR,PAT-2001,Cash,15,6
ORD-50022,2025-03-05 12:25:00,M102,Peri-Peri Fries,Sides,129.0,5,645.0,OUT-BBSR,PAT-2001,upi,90,20
ORD-50023,2025-01-15 13:29:00,M101,Paneer Tikka Skewers,Starters,249.0,4,996.0,OUT-KOL,PAT-2017,cash,40,10
ORD-50024,2025-02-14 18:10:00,M103,Butter Chicken Bowl,Main Course,329.0,2,658.0,OUT-KOL,PAT-2011,Wallet,35,8
ORD-50025,2025-01-17 12:06:00,M110,Classic Cheese Burger,Main Course,239.0,3,717.0,OUT-KOL,PAT-2006,card,30,8
ORD-50026,2025-02-18 14:05:00,M101,Paneer Tikka Skewers,Starters,249.0,5,1245.0,OUT-BLR,PAT-2015,card,40,10
ORD-50027,2025-03-28 14:49:00,M103,Butter Chicken Bowl,Main Course,329.0,4,1316.0,OUT-KOL,PAT-2018,upi,35,8
ORD-50028,2025-02-11 09:00:00,M106,Choco Lava Cake,Desserts,179.0,3,537.0,OUT-BLR,PAT-2006,upi,8,12
ORD-50029,2025-02-20 15:00:00,M102,Peri-Peri Fries,Sides,129.0,3,387.0,OUT-BLR,PAT-2024,Cash,90,20
ORD-50030,2025-01-25 17:31:00,M111,Falafel Wrap,Sides,189.0,3,567.0,OUT-BLR,PAT-2004,cash,22,8
ORD-50031,2025/01/08 13:17,M101,Paneer Tikka Skewers,Starters,249.0,5,1245.0,OUT-BLR,PAT-2021,Wallet,40,10
ORD-50032,2025-02-04 21:27:00,M111,Falafel Wrap,Sides,189.0,3,567.0,OUT-BBSR,PAT-2005,,22,8
ORD-50033,2025-03-18 20:31:00,M104,Margherita Wood-Fired Pizza,Main Course,299.0,2,598.0,OUT-BBSR,PAT-2004,card,25,8
